"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000141698",561.41622980826,-0.0182469744812918,0.080254979373412,-0.227362521599961,0.820141860592875,0.87710279063114,"NT5C3B","115024","5'-nucleotidase, cytosolic IIIB"
"ENSG00000172057",1109.19196346514,0.0141860484330932,0.0625789783598565,0.226690316858757,0.8206645571508,0.877597899435485,"ORMDL3","94103","ORMDL sphingolipid biosynthesis regulator 3"
"ENSG00000128594",19.7390381061533,-0.0907395535377242,0.400858407759681,-0.226363104231366,0.820919021734015,0.877806116557918,"LRRC4","64101","leucine rich repeat containing 4"
"ENSG00000128346",47.3612996522375,0.0608909279217832,0.269708973483425,0.225765302263942,0.821383965126777,0.878239351314677,"C22orf23","84645","chromosome 22 open reading frame 23"
"ENSG00000129559",613.80271891666,0.017872500422608,0.0793364201950203,0.225274853323036,0.821765461049307,0.878583305881683,"NEDD8","4738","NEDD8 ubiquitin like modifier"
"ENSG00000010438",100.357648804665,-0.0403071568336724,0.180716297625799,-0.223041072461182,0.823503540356833,0.8803774840144,"PRSS3","5646","serine protease 3"
"ENSG00000115459",209.439767574481,-0.0284300459529421,0.127954822857492,-0.222188154522365,0.824167414989424,0.880970235451126,"ELMOD3","84173","ELMO domain containing 3"
"ENSG00000008130",954.970824752761,0.0147195893336346,0.0662523400069193,0.222174633108768,0.824177940490458,0.880970235451126,"NADK","65220","NAD kinase"
"ENSG00000189367",2.15917479368551,-0.274855783478499,1.23921502163319,-0.221798298665118,0.824470903944808,0.881219265057424,"KIAA0408","9729","KIAA0408"
"ENSG00000204176",7.9579455947495,-0.140479192856312,0.634921665554054,-0.22125436959806,0.824894377269426,0.881519342165607,"SYT15","83849","synaptotagmin 15"
"ENSG00000121905",1.06128067739318,0.40328987954768,1.82341580963849,0.221172744809992,0.82495793025137,0.881519342165607,"HPCA","3208","hippocalcin"
"ENSG00000197343",841.799101684027,-0.0160868479724439,0.072757383125292,-0.221102619162945,0.8250125309294,0.881519342165607,"ZNF655","79027","zinc finger protein 655"
"ENSG00000187695",0.824345892798361,0.422562694728956,1.91159586452299,0.221052316847526,0.825051697442813,0.881519342165607,NA,NA,NA
"ENSG00000111291",0.824345892798361,0.422562694728956,1.91159586452299,0.221052316847526,0.825051697442813,0.881519342165607,"GPRC5D","55507","G protein-coupled receptor class C group 5 member D"
"ENSG00000132781",57.8267112081972,-0.0550796572757818,0.249425924709963,-0.220825711440498,0.825228142904768,0.881643739583348,"MUTYH","4595","mutY DNA glycosylase"
"ENSG00000161999",246.695426364965,-0.0266328039898107,0.120647794281114,-0.22074837048206,0.82528836617745,0.88164396037719,"JMJD8","339123","jumonji domain containing 8"
"ENSG00000174236",4.95015379749549,-0.18639436174929,0.845639594283365,-0.22041820535526,0.82554546822111,0.88185448866842,"REP15","387849","RAB15 effector protein"
"ENSG00000159593",553.174672490416,-0.0179388560533105,0.0814180012488762,-0.220330341916348,0.825613891288848,0.881855114877561,"NAE1","8883","NEDD8 activating enzyme E1 subunit 1"
"ENSG00000173110",4.12235256672107,0.198486962022625,0.901135051933127,0.220263279734628,0.825666116407487,0.881855114877561,"HSPA6","3310","heat shock protein family A (Hsp70) member 6"
"ENSG00000248485",0.479612215935102,0.584003888059092,2.65452539038405,0.220003127555168,0.825868718940932,NA,"PCP4L1","654790","Purkinje cell protein 4 like 1"
"ENSG00000068976",0.479612215935102,0.584003888059092,2.65452539038405,0.220003127555168,0.825868718940932,NA,"PYGM","5837","glycogen phosphorylase, muscle associated"
"ENSG00000066735",0.479612215935102,0.584003888059092,2.65452539038405,0.220003127555168,0.825868718940932,NA,"KIF26A","26153","kinesin family member 26A"
"ENSG00000102854",0.479612215935102,0.584003888059092,2.65452539038405,0.220003127555168,0.825868718940932,NA,"MSLN","10232","mesothelin"
"ENSG00000103375",0.479612215935102,0.584003888059092,2.65452539038405,0.220003127555168,0.825868718940932,NA,"AQP8","343","aquaporin 8"
"ENSG00000205456",0.479612215935102,0.584003888059092,2.65452539038405,0.220003127555168,0.825868718940932,NA,"TP53TG3","24150","TP53 target 3"
"ENSG00000236609",188.124771306272,0.0292493443773014,0.133017682846299,0.219890647254011,0.825956320468493,0.882100934037235,"ZNF853","54753","zinc finger protein 853"
"ENSG00000119684",166.17847024327,-0.0329023338663525,0.149827693071154,-0.219601151108473,0.826181794839102,0.882264317285041,"MLH3","27030","mutL homolog 3"
"ENSG00000183208",19.1146802558127,0.0925163409190336,0.421409947269871,0.219540002599384,0.826229422252574,0.882264317285041,"GDPGP1","390637","GDP-D-glucose phosphorylase 1"
"ENSG00000170835",3.64198400266352,0.206957829619022,0.944078034300759,0.219216867779693,0.826481116445096,0.88246893448019,"CEL","1056","carboxyl ester lipase"
"ENSG00000161298",36.1304876513976,0.0651955972824471,0.29784175500874,0.218893409624631,0.826733080344578,0.882673809888935,"ZNF382","84911","zinc finger protein 382"
"ENSG00000161180",2.34581077463125,0.251162933545993,1.14895186932271,0.218601788510123,0.826960259467618,0.882852195608961,"CCDC116","164592","coiled-coil domain containing 116"
"ENSG00000088280",340.022113373046,-0.0222568947830988,0.101987922309558,-0.218230691233652,0.827249373169813,0.88309667116231,"ASAP3","55616","ArfGAP with SH3 domain, ankyrin repeat and PH domain 3"
"ENSG00000105738",1040.91497920249,0.0148513993141142,0.0681732962958498,0.217847751554567,0.827547737573738,0.88331955321766,"SIPA1L3","23094","signal induced proliferation associated 1 like 3"
"ENSG00000164695",0.779436517021316,0.437404816084507,2.01043263973134,0.217567506336825,0.827766104181198,0.88331955321766,"CHMP4C","92421","charged multivesicular body protein 4C"
"ENSG00000135094",0.779436517021316,0.437404816084507,2.01043263973134,0.217567506336825,0.827766104181198,0.88331955321766,"SDS","10993","serine dehydratase"
"ENSG00000076826",0.779436517021316,0.437404816084507,2.01043263973134,0.217567506336825,0.827766104181198,0.88331955321766,"CAMSAP3","57662","calmodulin regulated spectrin associated protein family member 3"
"ENSG00000174721",12.6283725055575,0.111659883967852,0.513255318548941,0.217552317399327,0.827777939756552,0.88331955321766,"FGFBP3","143282","fibroblast growth factor binding protein 3"
"ENSG00000168802",1233.12233676568,0.0145434894615905,0.0668837287142252,0.217444358159674,0.827862065247904,0.88331955321766,"CHTF8","54921","chromosome transmission fidelity factor 8"
